fecha,nro_casos
2021-01-01,228
2021-01-02,676
2021-01-03,190
2021-01-04,1398
2021-01-05,1231
2021-01-06,1209
2021-01-07,1183
2021-01-08,1274
2021-01-09,919
2021-01-10,325
2021-01-11,1594
2021-01-12,1353
2021-01-13,1372
2021-01-14,1268
2021-01-15,1171
2021-01-16,898
2021-01-17,233
2021-01-18,1557
2021-01-19,1410
2021-01-20,1284
2021-01-21,1206
2021-01-22,1258
2021-01-23,851
2021-01-24,225
2021-01-25,1384
2021-01-26,1259
2021-01-27,1064
2021-01-28,1156
2021-01-29,1075
2021-01-30,767
2021-01-31,163
2021-02-01,1208
2021-02-02,1035
2021-02-03,968
2021-02-04,975
2021-02-05,1185
2021-02-06,813
2021-02-07,197
2021-02-08,1285
2021-02-09,1150
2021-02-10,1186
2021-02-11,1038
2021-02-12,1120
2021-02-13,834
2021-02-14,198
2021-02-15,1475
2021-02-16,1208
2021-02-17,1227
2021-02-18,1305
2021-02-19,1138
2021-02-20,969
2021-02-21,228
2021-02-22,1519
2021-02-23,1177
2021-02-24,1238
2021-02-25,1293
2021-02-26,1277
2021-02-27,1000
2021-02-28,446
2021-03-01,1629
2021-03-02,1347
2021-03-03,1441
2021-03-04,1304
2021-03-05,1452
2021-03-06,950
2021-03-07,242
2021-03-08,1654
2021-03-09,1418
2021-03-10,1410
2021-03-11,1371
2021-03-12,1277
2021-03-13,957
2021-03-14,223
2021-03-15,1539
2021-03-16,1387
2021-03-17,1349
2021-03-18,1325
2021-03-19,1274
2021-03-20,975
2021-03-21,287
2021-03-22,1631
2021-03-23,1419
2021-03-24,1278
2021-03-25,1238
2021-03-26,1352
2021-03-27,963
2021-03-28,270
2021-03-29,1314
2021-03-30,1056
2021-03-31,729
2021-04-01,417
2021-04-02,256
2021-04-03,636
2021-04-04,191
2021-04-05,1395
2021-04-06,1184
2021-04-07,1254
2021-04-08,1211
2021-04-09,1145
2021-04-10,846
2021-04-11,146
2021-04-12,1368
2021-04-13,1220
2021-04-14,1250
2021-04-15,1258
2021-04-16,1278
2021-04-17,909
2021-04-18,289
2021-04-19,1522
2021-04-20,1329
2021-04-21,1189
2021-04-22,1167
2021-04-23,1262
2021-04-24,950
2021-04-25,248
2021-04-26,1457
2021-04-27,1171
2021-04-28,1129
2021-04-29,1024
2021-04-30,962
2021-05-01,342
2021-05-02,184
2021-05-03,1198
2021-05-04,1075
2021-05-05,1224
2021-05-06,1062
2021-05-07,970
2021-05-08,673
2021-05-09,184
2021-05-10,1181
2021-05-11,1158
2021-05-12,1230
2021-05-13,1064
2021-05-14,1050
2021-05-15,876
2021-05-16,204
2021-05-17,1450
2021-05-18,1216
2021-05-19,1121
2021-05-20,1039
2021-05-21,1080
2021-05-22,815
2021-05-23,221
2021-05-24,1289
2021-05-25,1150
2021-05-26,1205
2021-05-27,1015
2021-05-28,1057
2021-05-29,658
2021-05-30,219
2021-05-31,858
2021-06-01,1158
2021-06-02,902
2021-06-03,982
2021-06-04,1014
2021-06-05,761
2021-06-06,174
2021-06-07,1216
2021-06-08,1122
2021-06-09,1023
2021-06-10,963
2021-06-11,1014
2021-06-12,756
2021-06-13,223
2021-06-14,1360
2021-06-15,1102
2021-06-16,1197
2021-06-17,1023
2021-06-18,1069
2021-06-19,841
2021-06-20,233
2021-06-21,1288
2021-06-22,1302
2021-06-23,1074
2021-06-24,846
2021-06-25,1005
2021-06-26,762
2021-06-27,259
2021-06-28,1235
2021-06-29,368
2021-06-30,963
2021-07-01,916
2021-07-02,920
2021-07-03,627
2021-07-04,207
2021-07-05,1172
2021-07-06,1009
2021-07-07,1034
2021-07-08,918
2021-07-09,986
2021-07-10,700
2021-07-11,218
2021-07-12,1361
2021-07-13,1195
2021-07-14,1113
2021-07-15,1120
2021-07-16,1081
2021-07-17,821
2021-07-18,279
2021-07-19,1472
2021-07-20,1190
2021-07-21,1217
2021-07-22,1174
2021-07-23,1174
2021-07-24,901
2021-07-25,265
2021-07-26,1448
2021-07-27,1116
2021-07-28,283
2021-07-29,287
2021-07-30,1043
2021-07-31,621
2021-08-01,294
2021-08-02,1327
2021-08-03,1154
2021-08-04,1038
2021-08-05,1073
2021-08-06,1055
2021-08-07,752
2021-08-08,264
2021-08-09,1416
2021-08-10,1211
2021-08-11,1246
2021-08-12,1197
2021-08-13,1221
2021-08-14,899
2021-08-15,246
2021-08-16,1485
2021-08-17,1322
2021-08-18,1375
2021-08-19,1308
2021-08-20,1290
2021-08-21,1050
2021-08-22,321
2021-08-23,1498
2021-08-24,1245
2021-08-25,1182
2021-08-26,1097
2021-08-27,1154
2021-08-28,729
2021-08-29,226
2021-08-30,269
2021-08-31,933
2021-09-01,1200
2021-09-02,1022
2021-09-03,1092
2021-09-04,757
2021-09-05,246
2021-09-06,1408
2021-09-07,1218
2021-09-08,1285
2021-09-09,1161
2021-09-10,1182
2021-09-11,759
2021-09-12,280
2021-09-13,1548
2021-09-14,1251
2021-09-15,1322
2021-09-16,1199
2021-09-17,1214
2021-09-18,803
2021-09-19,275
2021-09-20,1644
2021-09-21,1363
2021-09-22,1237
2021-09-23,1324
2021-09-24,1164
2021-09-25,872
2021-09-26,252
2021-09-27,1491
2021-09-28,1230
2021-09-29,1116
2021-09-30,1060
2021-10-01,1155
2021-10-02,762
2021-10-03,208
2021-10-04,1313
2021-10-05,1194
2021-10-06,1223
2021-10-07,1147
2021-10-08,392
2021-10-09,838
2021-10-10,320
2021-10-11,1392
2021-10-12,1364
2021-10-13,1326
2021-10-14,1249
2021-10-15,1251
2021-10-16,926
2021-10-17,294
2021-10-18,1627
2021-10-19,1292
2021-10-20,1387
2021-10-21,1333
2021-10-22,1301
2021-10-23,932
2021-10-24,280
2021-10-25,1494
2021-10-26,1229
2021-10-27,1283
2021-10-28,1224
2021-10-29,1166
2021-10-30,791
2021-10-31,199
2021-11-01,364
2021-11-02,941
2021-11-03,1313
2021-11-04,1248
2021-11-05,1234
2021-11-06,868
2021-11-07,305
2021-11-08,1458
2021-11-09,1260
2021-11-10,1331
2021-11-11,1251
2021-11-12,1221
2021-11-13,861
2021-11-14,296
2021-11-15,1609
2021-11-16,1406
2021-11-17,1455
2021-11-18,1333
2021-11-19,1237
2021-11-20,871
2021-11-21,353
2021-11-22,1551
2021-11-23,1291
2021-11-24,1233
2021-11-25,1327
2021-11-26,1192
2021-11-27,856
2021-11-28,308
2021-11-29,1346
2021-11-30,1128
2021-12-01,1296
2021-12-02,1135
2021-12-03,1173
2021-12-04,925
2021-12-05,276
2021-12-06,1404
2021-12-07,1244
2021-12-08,403
2021-12-09,1270
2021-12-10,1248
2021-12-11,840
2021-12-12,281
2021-12-13,1504
2021-12-14,1278
2021-12-15,1267
2021-12-16,1168
2021-12-17,1103
2021-12-18,935
2021-12-19,292
2021-12-20,1402
2021-12-21,1116
2021-12-22,1055
2021-12-23,944
2021-12-24,431
2021-12-25,137
2021-12-26,201
2021-12-27,1117
2021-12-28,1070
2021-12-29,982
2021-12-30,825
2021-12-31,278
2022-01-01,208
2022-01-02,170
2022-01-03,1015
2022-01-04,1047
2022-01-05,1086
2022-01-06,1002
2022-01-07,1011
2022-01-08,720
2022-01-09,249
2022-01-10,1330
2022-01-11,1084
2022-01-12,997
2022-01-13,938
2022-01-14,1055
2022-01-15,739
2022-01-16,224
2022-01-17,1224
2022-01-18,1038
2022-01-19,1006
2022-01-20,899
